"","Season","LocationID","Taxa_Richness","Diversity","TotalFish","TotalCPUE"
"1",2006,"BUFFRMFISHBM01",23,0.792048313531737,1406,10.1797996862556
"2",2006,"BUFFRMFISHBM02",40,0.862981801327088,1281,16.4900236000858
"3",2006,"BUFFRMFISHBM03",39,0.862615948174117,1070,12.8451380552221
"4",2006,"BUFFRMFISHBM04",34,0.906049399882775,1508,12.9275610801543
"5",2006,"BUFFRMFISHBM05",36,0.882578102277984,1838,12.629409070087
"6",2006,"BUFFRMFISHBM06",36,0.881782905298726,1779,18.1746977694534
"7",2006,"BUFFRMFISHBT03",11,0.720688919775557,522,12.6750303520842
"8",2006,"BUFFRMFISHBT09",32,0.817375050657933,984,16.9752731454859
"9",2006,"BUFFRMFISHBT22",19,0.814265831593598,480,11.0133843212237
"10",2006,"BUFFRMFISHBT24",8,0.42644964069077,354,9.95313964386129
"11",2006,"BUFFRMFISHBT30",24,0.884239733629301,425,7.84615384615385
"12",2006,"BUFFRMFISHBT31",22,0.889999097119812,447,9.28670360110803
"13",2007,"BUFFRMFISHBM01",23,0.847664135561185,1157,8.13261480787254
"14",2007,"BUFFRMFISHBM02",31,0.879938714057084,514,4.20335286902004
"15",2007,"BUFFRMFISHBM03",40,0.891881541732189,1703,8.29787234042553
"16",2007,"BUFFRMFISHBM04",44,0.888816504170554,1532,9.17273725177128
"17",2007,"BUFFRMFISHBM05",39,0.87715913028413,1665,8.99837867050982
"18",2007,"BUFFRMFISHBM06",35,0.865676554533485,952,6.73902784332232
"19",2007,"BUFFRMFISHBT05",18,0.859179936747489,269,6.00446428571429
"20",2007,"BUFFRMFISHBT07",27,0.838517709067871,1134,24
"21",2007,"BUFFRMFISHBT12",17,0.675473322316158,614,14.1257668711656
"22",2007,"BUFFRMFISHBT21",11,0.488731103985341,296,8.37735849056604
"23",2007,"BUFFRMFISHBT25",7,0.323153666753045,681,21.0727178958226
"24",2007,"BUFFRMFISHBT33",13,0.647786297303982,312,7.39044611133044
"25",2008,"BUFFRMFISHBM01",25,0.875149222158446,862,6.01535240753664
"26",2008,"BUFFRMFISHBM02",37,0.897208636076635,652,5.30368763557484
"27",2008,"BUFFRMFISHBM03",36,0.898519561081137,784,7.19376051384004
"28",2008,"BUFFRMFISHBM04",39,0.85281431435297,1544,9.17318546390732
"29",2008,"BUFFRMFISHBM05",36,0.847498571156411,725,14.2763373810305
"30",2008,"BUFFRMFISHBM06",32,0.870702856465568,650,3.90859891761876
"31",2008,"BUFFRMFISHBT04",14,0.804717131474104,251,5.39784946236559
"32",2008,"BUFFRMFISHBT13",26,0.810748884543105,1603,25.9385113268608
"33",2008,"BUFFRMFISHBT15",26,0.844540730356966,532,11.9193427931292
"34",2008,"BUFFRMFISHBT16",10,0.575757575757576,529,15.4603019970774
"35",2008,"BUFFRMFISHBT19",16,0.687771296538896,1143,20.5575539568345
"36",2008,"BUFFRMFISHBT28",12,0.837185601891484,222,6.20400558919422
"37",2009,"BUFFRMFISHBM01",21,0.854654626698939,656,5.82938388625592
"38",2009,"BUFFRMFISHBM02",31,0.836835829793576,568,3.87272727272727
"39",2009,"BUFFRMFISHBM03",34,0.878973170705543,966,5.47412164714771
"40",2009,"BUFFRMFISHBM04",30,0.890412184375909,733,4.19296405758414
"41",2009,"BUFFRMFISHBM05",28,0.911194029850746,536,3.14031832828825
"42",2009,"BUFFRMFISHBM06",33,0.900323348612444,531,3.54906984515985
"43",2009,"BUFFRMFISHBT01",4,0.650623885918004,34,1.5987460815047
"44",2009,"BUFFRMFISHBT06",14,0.796176975945017,97,3.85430463576159
"45",2009,"BUFFRMFISHBT10",19,0.831870200396462,347,10.1511457825451
"46",2009,"BUFFRMFISHBT11",14,0.740555763349541,302,7.7336747759283
"47",2009,"BUFFRMFISHBT20",29,0.866385536813565,849,7.56347438752784
